㞶 ㄇㄧㄣˇ
㞷 ㄏㄨㄤˊ
㞸 ㄙㄨㄟˋ
㞹 ㄎㄜˇ
㞺 ㄗㄨˊ
㞻 ㄏㄠˋ
㞼 ㄔㄥˊ
㞽 ㄒㄩㄝˋ
㞾 ㄋㄧˊ
㞿 ㄔˋ
㟀 ㄌㄧㄢˊ
㟁 ㄢˋ
㟂 ㄔˇ
㟄 ㄒㄧㄤˊ
㟅 ㄧㄤˊ
㟆 ㄏㄨㄚˊ
㟇 ㄘㄨㄛˊ
㟈 ㄑㄧㄡˊ
㟉 ㄌㄠˊ
㟊 ㄈㄨˊ
㟋 ㄉㄨㄟˋ
㟌 ㄇㄤˊ
㟍 ㄌㄤˊ
㟎 ㄊㄨㄛˇ
㟏 ㄏㄢˊ
㟐 ㄇㄤˇ
㟑 ㄅㄛˊ
㟓 ㄑㄧˊ
㟔 ㄏㄢˊ
㟖 ㄌㄨㄥˋ
㟘 ㄊㄧㄠˊ
㟙 ㄌㄠˇ
㟚 ㄑㄧˊ
㟛 ㄗㄢˋ
㟜 ㄇㄧˊ
㟝 ㄆㄟˊ
㟞 ㄓㄢˋ
㟟 ㄒㄧㄤˋ
㟠 ㄍㄤˇ
㟢 ㄑㄧˊ
㟤 ㄌㄨˋ
㟦 ㄩㄣˋ
㟧 ㄜˋ
㟨 ㄑㄩㄢˊ
㟩 ㄇㄧㄣˊ
㟪 ㄨㄟˇ
㟫 ㄑㄩㄢˊ
㟬 ㄕㄨˇ
㟭 ㄇㄧㄣˊ
㟰 ㄇㄧㄥˇ
㟱 ㄧㄠˇ
㟲 ㄐㄩㄝˊ
㟳 ㄌㄧˋ
㟴 ㄎㄨㄞˋ
㟵 ㄍㄤˇ
㟶 ㄩㄢˊ
㟷 ㄉㄚˊ
㟹 ㄌㄠˊ
㟺 ㄌㄡˊ
㟻 ㄑㄧㄢˋ
㟼 ㄠˊ
㟽 ㄅㄧㄠˇ
㟿 ㄇㄤˊ
㠀 ㄉㄠˇ
㠂 ㄠˊ
㠄 ㄒㄧˊ
㠅 ㄈㄨˊ
㠇 ㄐㄧㄡˋ
㠈 ㄖㄨㄣˋ
㠉 ㄊㄨㄥˊ
㠊 ㄑㄩ
㠋 ㄜˋ
㠍 ㄐㄧˊ
㠎 ㄐㄧˊ
㠏 ㄏㄨㄚˊ
㠐 ㄐㄧㄠˋ
㠑 ㄗㄨㄟˋ
㠒 ㄅㄧㄠˇ
㠓 ㄇㄥˊ
㠔 ㄅㄞˋ
㠕 ㄨㄟˇ
㠖 ㄐㄧˋ
㠗 ㄠˋ
㠘 ㄩˇ
㠙 ㄏㄠˊ
㠚 ㄉㄨㄟˋ
㠛 ㄨㄛˋ
㠜 ㄋㄧˋ
㠝 ㄘㄨㄢˊ
㠟 ㄌㄧˊ
㠠 ㄌㄨˊ
㠡 ㄋㄧㄠˇ
㠢 ㄏㄨㄚˋ
㠣 ㄌㄞˋ
㠥 ㄌㄨˋ
㠧 ㄇㄧˊ
㠨 ㄩˋ
㠪 ㄐㄩˋ
㠭 ㄓㄢˇ
㠯 ㄧˇ
㠱 ㄐㄧˋ
㠲 ㄅㄧˇ
㠴 ㄖㄣˋ
㠶 ㄈㄢˊ
㠷 ㄍㄜˊ
㠸 ㄎㄨˋ
㠹 ㄐㄧㄝˋ
㠺 ㄇㄧㄠˊ
㠽 ㄊㄨㄥˊ
㠿 ㄘˇ
㡀 ㄅㄧˋ
㡁 ㄎㄞˇ
㡂 ㄌㄧˋ
㡄 ㄙㄨㄣˇ
㡅 ㄋㄨㄛˇ
㡇 ㄐㄧˊ
㡈 ㄇㄣˊ
㡉 ㄒㄧㄢˊ
㡊 ㄑㄧㄚˋ
㡋 ㄜˋ
㡌 ㄇㄠˋ
㡏 ㄊㄡˊ
㡑 ㄑㄧㄠˇ
㡔 ㄨˋ
㡖 ㄔㄨㄤˊ
㡗 ㄊㄧˊ
㡘 ㄌㄧㄢˊ
㡙 ㄅㄧˋ
㡛 ㄇㄤˊ
㡜 ㄒㄩㄝˇ
㡝 ㄈㄥˋ
㡞 ㄌㄟˇ
㡠 ㄓㄥˋ
㡡 ㄔㄨˊ
㡢 ㄇㄢˋ
㡣 ㄌㄨㄥˊ
㡥 ㄧㄣˇ
㡧 ㄓㄥˋ
㡨 ㄑㄧㄢ
㡩 ㄌㄨㄢˊ
㡪 ㄋㄧㄝˊ
㡫 ㄧˋ
㡭 ㄐㄧˋ
㡮 ㄐㄧˊ
㡯 ㄓㄞˊ
㡰 ㄩˇ
㡱 ㄐㄧㄡˇ
㡲 ㄏㄨㄢˊ
㡳 ㄉㄧˇ
㡵 ㄌㄧㄥˊ
㡶 ㄐㄧˋ
㡷 ㄅㄣˇ
㡸 ㄓㄚˇ
㡹 ㄘˋ
㡺 ㄉㄢˋ
㡻 ㄌㄧㄠˋ
㡼 ㄧˋ
㡽 ㄓㄠˋ
㡾 ㄒㄧㄢˋ
㡿 ㄔˋ
㢀 ㄘˋ
㢁 ㄔˇ
㢂 ㄧㄢˇ
㢃 ㄌㄤˊ
㢄 ㄉㄡˋ
㢅 ㄌㄨㄥˋ
㢆 ㄔㄢˊ
㢈 ㄊㄨㄟˊ
㢉 ㄔㄚˊ
㢊 ㄞˇ
㢋 ㄔˇ
㢍 ㄧㄥˊ
㢎 ㄔㄚˋ
㢏 ㄊㄡˊ
㢑 ㄊㄨㄟˊ
㢒 ㄔㄚˊ
㢓 ㄧㄠˇ
㢔 ㄗㄨㄥˇ
㢗 ㄑㄧㄠˋ
㢘 ㄌㄧㄢˊ
㢙 ㄑㄧㄣˊ
㢚 ㄌㄨˇ
㢛 ㄧㄢˋ
㢞 ㄧˋ
㢟 ㄔㄢˇ
㢠 ㄐㄩㄥˇ
㢡 ㄐㄧㄤˇ
㢣 ㄐㄧㄥˋ
㢥 ㄉㄨㄥˋ
㢧 ㄐㄩㄢˋ
㢨 ㄏㄢˋ
㢩 ㄉㄧˋ
㢬 ㄏㄨㄥˊ
㢮 ㄔˊ
㢯 ㄇㄧㄣˊ
㢰 ㄅㄧˋ
㢲 ㄒㄩㄣˋ
㢳 ㄌㄨˊ
㢵 ㄕㄜˋ
㢶 ㄅㄧˋ
㢸 ㄅㄧˋ
㢺 ㄒㄧㄢˊ
㢻 ㄨㄟˇ
㢼 ㄅㄧㄝˋ
㢽 ㄦˇ
㢾 ㄐㄩㄢˋ
㣀 ㄓㄣˋ
㣁 ㄅㄟˋ
㣂 ㄧˋ
㣃 ㄩˇ
㣄 ㄑㄩˊ
㣅 ㄗㄢˋ
㣆 ㄇㄧˊ
㣇 ㄋㄧˇ
㣈 ㄙˋ
㣌 ㄕㄢˋ
㣍 ㄊㄞˊ
㣎 ㄇㄨˋ
㣏 ㄐㄧㄥˋ
㣐 ㄅㄧㄢˋ
㣑 ㄖㄨㄥˊ
㣒 ㄘㄥˋ
㣓 ㄘㄢˋ
㣙 ㄉㄧˊ
㣚 ㄊㄨㄥˊ
㣛 ㄊㄚˋ
㣜 ㄒㄧㄥˊ
㣞 ㄉㄨㄛˊ
㣟 ㄒㄧˋ
